# file...... equip_log.csv
# date...... Sun Mar 25 17:04:09 2018
# user...... ealvaro
# host...... (null)
# trigger... (none)
# interval.. 1800
# limit..... 2880
# timestamp,N_300007148_Cap:switchA,N_300007148_Cap:switchB,N_300007148_Cap:switchC,N_300007158_Cap:switchA,N_300007158_Cap:switchB,N_300007158_Cap:switchC,N_300030113_Cap:switchA,N_300030113_Cap:switchB,N_300030113_Cap:switchC,N_300020414_Cap:switchA,N_300020414_Cap:switchB,N_300020414_Cap:switchC
2000-07-17 00:00:00 UTC,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 00:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 01:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 01:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 02:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 02:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 03:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 03:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 04:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 04:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 05:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 05:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 06:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 06:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 07:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
2000-07-17 07:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 08:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 08:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 09:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 09:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 10:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 10:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 11:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 11:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 12:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 12:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 13:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 13:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 14:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 14:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 15:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 15:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 16:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 16:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 17:00:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 17:30:00 UTC,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 18:00:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 18:30:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 19:00:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 19:30:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 20:00:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 20:30:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 21:00:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 21:30:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 22:00:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
2000-07-17 22:30:00 UTC,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
